Packet number,GyroscopeX,GyroscopeY,GyroscopeZ,AcceleromotorX,AcceleromotorY,AcceleromotorZ
1,-1.312255859375,-0.946044921875,1.0986328125,-0.1619873046875,-0.0069580078125,0.9586181640625
2,-1.678466796875,-1.129150390625,0.946044921875,-0.16363525390625,-0.00799560546875,0.95843505859375
3,-1.373291015625,-1.007080078125,0.457763671875,-0.16314697265625,-0.0078125,0.95953369140625
4,-1.28173828125,-0.396728515625,0.152587890625,-0.1629638671875,-0.00848388671875,0.95904541015625
5,-0.79345703125,-1.251220703125,0.457763671875,-0.16357421875,-0.00872802734375,0.95904541015625
6,-0.9765625,-0.79345703125,1.220703125,-0.163818359375,-0.00836181640625,0.958251953125
7,-0.762939453125,-0.91552734375,0.396728515625,-0.16387939453125,-0.00701904296875,0.9593505859375
8,-1.739501953125,-1.220703125,0.885009765625,-0.16387939453125,-0.0087890625,0.95916748046875
9,-1.434326171875,-0.9765625,0.42724609375,-0.16375732421875,-0.00811767578125,0.9588623046875
10,-1.8310546875,-0.152587890625,1.15966796875,-0.1624755859375,-0.0084228515625,0.95947265625
11,-1.190185546875,-1.0986328125,0.885009765625,-0.16259765625,-0.00836181640625,0.95831298828125
12,-1.15966796875,-1.40380859375,0.18310546875,-0.1634521484375,-0.00787353515625,0.958984375
13,-0.885009765625,-0.79345703125,0.54931640625,-0.16259765625,-0.00726318359375,0.95880126953125
